clue tin furry, Gluten free
hints toe cram starry, Instagram story
lis sin sand dedges tray shun, License and registration
boe day tote ships, Potato chips
high dance eek, Hide and seek
phase poke off his shoal, Facebook official
pie rate softy care hip been, Pirates of the carribean
tree chores hail fright, Treat yourself right
<<<<<<< Updated upstream
sock her go all key per, Soccer goalkeeper
=======
sock her go all key per, Soccer keeper
hull or bard, All aboard
horde your, Hors d'oeuvre
tooth ache tool luv, Too fake to love
Whirled Peas, World Peace
Knight Mare Own Elm Street, Nightmare on Elm Street
Thigh Tan Nick, Titanic
Sail Ant Knight, Silent Night
Grain Bow Trout, Rainbow Trout
Chews They, Tuesday
Mussed Hair Dull, Mustard Oil
Fur Rust Stray Shun, First Frustration
Bee Leaf Meat Gnome, Believe Me Not
Mint Hull Breaked Own, Mental Breakdown
Pea Scent Quiet, Peace and Quiet
Dawned Fur Gut, Don't Forget
Guests Tarred Hear Row, Guitar Hero
Coal Hard Cache, Cold Hard Cash
Throne Groan, Throne Room
Mice Elf, Myself
Scene Your Sitter Sin, Senior Citizens
Witch Docked Her, Which Doctor
Sigh Lent Spring, Silent Spring
Sum Shine, Sunshine
Knight Mare Own Elm Street, Nightmare on Elm Street
Thigh Tan Nick, Titanic
Sail Ant Knight, Silent Night
Grain Bow Trout, Rainbow Trout
Chews They, Tuesday
Mussed Hair Dull, Mustard Oil
Fur Rust Stray Shun, First Frustration
Bee Leaf Meat Gnome, Believe Me Not
Mint Hull Breaked Own, Mental Breakdown
Pea Scent Quiet, Peace and Quiet
Dawned Fur Gut, Don't Forget
Guests Tarred Hear Row, Guitar Hero
Coal Hard Cache, Cold Hard Cash
Throne Groan, Throne Room
Mice Elf, Myself
Scene Your Sitter Sin, Senior Citizens
Witch Docked Her, Which Doctor
Sigh Lent Spring, Silent Spring
Sum Shine, Sunshine
Bee Four Ewe No Wit, Before You Know It
Marry Golds Round, Marigolds Round
Ice Cream Son Die, Ice Cream Sundae
Duck's Inn Arow, Ducks in a Row
Pea Knit Butter, Peanut Butter
Fur Tree Gull, Fertile
Thyme Is Munny, Time is Money
Wine Knot, Why Not
Sole Mate, Soulmate
Key Ping Score, Keeping Score
Cue Pid's Arrow, Cupid's Arrow
Pour Trait, Portrait
Tie Tan Knee, Titan Knee
Coral Wreath, Coral Reef
Sigh Lent Pea, Silent Pea
Hare Male, Air Mail
Grape Mines Think Alike, Great Minds Think Alike
Scene It All, Seen It All
Pail of Water, Pail of Water
Feather Forecast, Weather Forecast
Nose Dive, Nose Dive
Chalk Lit Milk, Chocolate Milk
Mustered Up Courage, Mustard Up Courage
Rolling Stoned, Rolling Stone
Spice of Life, Spice of Life
Deerly Beloved, Dearly Beloved
Guessed Room, Guest Room
Mint Two Bee, Meant to Be
Tail of Whoa, Tale of Woe
Braking Dawn, Breaking Dawn
Peas on Earth, Peace on Earth
Raining Champs, Reigning Champs
Sea Food Diet, Seafood Diet
Lion's Share, Lion's Share
Hopping Mad, Hopping Mad
Skuller Ship, Scholarship
Witching Our, Witching Hour
Flea Market, Flea Market
Missed Steak, Mistake
Write of Passage, Rite of Passage
Pair of Docs, Paradox
Sail or Moon, Sailor Moon
>>>>>>> Stashed changes
